SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
540081,GOVNOW      ,B ,Q,10.55,11.65,10.55,11.64,11.64,11.10,47,22670,252089.00,,INE860T01019,13-Nov-17,,
540082,RSTL        ,M ,Q,39.55,39.55,39.55,39.55,39.55,38.45,1,3000,118650.00,,INE367U01013,13-Nov-17,,
540083,TVVISION    ,B ,Q,27.50,27.50,27.50,27.50,27.50,28.90,9,704,19360.00,,INE871L01013,13-Nov-17,,
540084,SPICY       ,MT,Q,10.40,10.40,10.40,10.40,10.40,9.92,4,40000,416000.00,,INE592O01019,13-Nov-17,,
540115,LTTS        ,A ,Q,919.00,929.25,900.00,925.45,925.05,916.70,764,11879,10921479.00,,INE010V01017,13-Nov-17,,
540124,GNA         ,B ,Q,364.65,364.80,353.10,356.20,357.00,362.35,255,8544,3072096.00,,INE934S01014,13-Nov-17,,
540125,RADHIKAJWE  ,M ,Q,18.50,22.20,18.50,22.20,22.20,18.50,56,110400,2320720.00,,INE583V01013,13-Nov-17,,
540133,ICICIPRULI  ,B ,Q,378.05,381.50,375.00,375.65,375.65,377.45,1631,47282,17880646.00,,INE726G01019,13-Nov-17,,
540134,IISL        ,XT,Q,9.60,9.80,9.55,9.80,9.80,9.80,13,4637,45016.00,,INE818R01011,13-Nov-17,,
540135,ARCFIN      ,XT,Q,4.11,4.11,4.11,4.11,4.11,4.28,1,50,205.00,,INE202R01018,13-Nov-17,,
540136,HPL         ,B ,Q,135.95,135.95,130.05,132.00,132.95,136.40,355,17164,2287494.00,,INE495S01016,13-Nov-17,,
540143,SAGARSOFT   ,XD,Q,50.00,50.00,42.30,43.90,44.10,46.55,101,8261,366439.00,,INE184B01012,13-Nov-17,,
540144,DRA         ,M ,Q,41.50,41.50,41.00,41.00,41.00,40.50,2,5000,206250.00,,INE746V01016,13-Nov-17,,
540145,VALIANTORG  ,M ,Q,584.75,584.75,582.00,582.00,582.00,572.50,2,600,350025.00,,INE565V01010,13-Nov-17,,
540146,ACML        ,M ,Q,99.50,99.50,99.50,99.50,99.50,98.25,1,4000,398000.00,,INE427V01013,13-Nov-17,,
540147,SHASHIJIT   ,M ,Q,31.00,31.00,31.00,31.00,31.00,33.25,1,4000,124000.00,,INE700V01013,13-Nov-17,,
540153,ENDURANCE   ,B ,Q,1140.00,1146.00,1091.00,1122.50,1122.50,1132.95,268,2133,2416856.00,,INE913H01037,13-Nov-17,,
540154,IDFSENSEXE  ,B ,Q,340.55,340.55,340.55,340.55,340.55,349.85,1,3,1021.00,,INF194KA1T91,13-Nov-17,,
540159,PURPLE      ,XT,Q,29.60,29.60,29.40,29.40,29.40,29.50,3,5405,159987.00,,INE905R01016,13-Nov-17,,
540173,PNBHOUSING  ,B ,Q,1389.05,1396.10,1374.25,1387.75,1392.00,1388.00,412,7021,9733589.00,,INE572E01012,13-Nov-17,,
540175,REGENCY     ,XT,Q,32.95,32.95,32.05,32.95,32.95,32.65,65,10121,330570.00,,INE964R01013,13-Nov-17,,
540180,VBL         ,B ,Q,503.35,503.35,492.00,494.60,492.00,505.00,73,882,438553.00,,INE200M01013,13-Nov-17,,
540192,LKPSEC      ,XD,Q,21.50,21.50,21.50,21.50,21.50,20.50,9,7395,158992.00,,INE341H01023,13-Nov-17,,
540203,SFL         ,B ,Q,1580.00,1580.00,1477.15,1509.50,1510.00,1540.75,36,231,348799.00,,INE916U01025,13-Nov-17,,
540210,TMRVL       ,B ,Q,141.95,144.00,137.50,138.55,140.00,138.20,139,7202,1008211.00,,INE759V01019,13-Nov-17,,
540212,TCIEXP      ,B ,Q,550.00,550.00,535.00,536.60,541.95,546.80,56,1223,659145.00,,INE586V01016,13-Nov-17,,
540222,LAURUSLABS  ,B ,Q,531.70,534.40,521.60,524.25,523.00,532.50,351,5415,2862454.00,,INE947Q01010,13-Nov-17,,
540243,NEWLIGHT    ,XT,Q,26.70,27.40,25.25,27.15,27.00,26.50,16,4360,113444.00,,INE835U01019,13-Nov-17,,
540269,SKL         ,MT,Q,14.20,14.50,14.20,14.50,14.50,14.10,2,20000,287000.00,,INE459U01018,13-Nov-17,,
540293,PRICOLLTD   ,B ,Q,100.00,100.00,88.00,91.95,91.95,100.30,1926,193997,18089788.00,,INE726V01018,13-Nov-17,,
540311,JITFINFRA   ,T ,Q,52.50,53.20,52.50,53.20,53.20,50.70,168,44201,2350012.00,,INE863T01013,13-Nov-17,,
540332,TANVI       ,M ,Q,75.00,75.50,75.00,75.50,75.50,72.50,2,4000,301000.00,,INE978V01015,13-Nov-17,,
540358,RMC         ,M ,Q,60.40,60.40,60.40,60.40,60.40,63.55,3,12000,724800.00,,INE655V01019,13-Nov-17,,
540360,LLFICL      ,XT,Q,15.70,16.00,15.70,16.00,16.00,15.90,31,10260,164157.00,,INE715Q01011,13-Nov-17,,
540361,DWEKAM      ,XT,Q,10.95,10.97,10.95,10.97,10.97,10.76,854,371259,4070428.00,,INE575D01033,13-Nov-17,,
540366,RADIOCITY   ,B ,Q,373.55,386.45,372.00,384.25,383.50,374.30,101,1645,625111.00,,INE919I01016,13-Nov-17,,
540376,DMART       ,B ,Q,1170.00,1178.95,1153.65,1158.25,1158.25,1156.70,3003,82188,95952203.00,,INE192R01011,13-Nov-17,,
540386,ONTIC       ,XT,Q,9.05,9.05,9.05,9.05,9.05,8.90,1,1000,9050.00,,INE989S01034,13-Nov-17,,
540393,SMLT        ,M ,Q,65.00,66.25,63.00,64.00,64.00,68.45,5,12000,776500.00,,INE017W01010,13-Nov-17,,
540394,JDML        ,MT,Q,33.55,33.55,33.55,33.55,33.55,35.30,1,3000,100650.00,,INE801W01017,13-Nov-17,,
540395,CHEMCRUX    ,M ,Q,32.80,33.00,32.50,33.00,33.00,32.00,5,20000,656800.00,,INE298W01016,13-Nov-17,,
540396,MANOMAY     ,M ,Q,36.60,36.60,36.60,36.60,36.60,36.50,1,4000,146400.00,,INE784W01015,13-Nov-17,,
540401,MAXIMUS     ,M ,Q,31.75,31.75,30.00,31.00,31.00,29.95,4,24000,745500.00,,INE544W01013,13-Nov-17,,
540403,CLEDUCATE   ,B ,Q,320.10,325.90,319.90,321.25,320.00,320.00,28,582,186368.00,,INE201M01011,13-Nov-17,,
540404,PRIME       ,M ,Q,150.00,153.00,150.00,152.50,153.00,149.00,7,7000,1062800.00,,INE442V01012,13-Nov-17,,
540405,OCEANIC     ,M ,Q,113.10,113.10,113.10,113.10,113.10,111.50,1,1000,113100.00,,INE711V01010,13-Nov-17,,
540416,OCTAWARE    ,M ,Q,95.00,95.00,95.00,95.00,95.00,96.00,1,1600,152000.00,,INE208U01019,13-Nov-17,,
540425,SHANKARA    ,B ,Q,1469.95,1484.95,1466.85,1472.75,1468.00,1466.85,267,3435,5059622.00,,INE274V01019,13-Nov-17,,
540497,SCHAND      ,B ,Q,477.60,480.00,471.50,472.80,472.80,476.55,229,3556,1685784.00,,INE807K01035,13-Nov-17,,
540519,MEERA       ,M ,Q,225.10,236.75,225.10,230.00,230.00,228.00,7,7000,1622350.00,,INE343X01018,13-Nov-17,,
540526,IRBINVIT    ,IF,Q,90.90,90.90,90.35,90.51,90.50,90.55,7,50000,4525600.00,,INE183W23014,13-Nov-17,,
540530,HUDCO       ,B ,Q,81.95,82.25,80.65,80.85,80.85,81.60,1267,285661,23243825.00,,INE031A01017,13-Nov-17,,
